id,name,age,gender,alive
3267,Camilo,18,MALE,true
4971,Gabriel,72,MALE,true
7212,Diana,31,FEMALE,true
6684,Valentina,64,FEMALE,true
7156,Daniel,40,MALE,true
1974,Julián,71,MALE,true
8386,Andrea,75,FEMALE,true
5836,Laura,38,FEMALE,true
1548,Miguel,52,MALE,true
8106,Alejandro,33,MALE,true
7489,Diego,30,MALE,true
6267,Elena,60,FEMALE,true
4954,Daniela,23,FEMALE,true
9568,Andrés,57,MALE,true
8202,Claudia,66,FEMALE,true
7745,Marcela,56,FEMALE,true
7436,Santiago,19,MALE,true
1202,Nicolás,61,MALE,true
1454,Jorge,33,MALE,true
5874,Juan,65,MALE,true
5269,Felipe,60,MALE,true
9336,Gabriel,38,MALE,true
6797,Juan,67,MALE,true
9014,Diego,41,MALE,true
1507,Carlos,52,MALE,true
5603,Santiago,51,MALE,true
6591,Jimena,57,FEMALE,true
1959,Diana,71,FEMALE,true
5417,Diana,45,FEMALE,true
8602,David,68,MALE,true
6660,Mateo,61,MALE,true
9073,Felipe,72,MALE,true
5117,Paola,54,FEMALE,true
9680,Daniel,27,MALE,true
8855,Isabella,26,FEMALE,true
8395,Catalina,45,FEMALE,true
9068,Catalina,20,FEMALE,true
1674,Catalina,56,FEMALE,true
4245,Ana,19,FEMALE,true
1106,Jorge,44,MALE,true
3283,Patricia,70,FEMALE,true
8552,Gabriel,19,MALE,true
9219,Santiago,35,MALE,true
3706,Fernanda,63,FEMALE,true
7187,Sofía,40,FEMALE,true
2455,Jorge,66,MALE,true
9495,Julián,58,MALE,true
8293,Juan,44,MALE,true
8776,Catalina,25,FEMALE,true
3357,Sofía,43,FEMALE,true
8253,María,25,FEMALE,true
2730,Felipe,20,MALE,true
2428,Carolina,40,FEMALE,true
6046,Daniel,31,MALE,true
3995,Valentina,48,FEMALE,true
6872,Miguel,72,MALE,true
2529,Ana,29,FEMALE,true
5909,Jimena,21,FEMALE,true
8752,Catalina,42,FEMALE,true
2383,Laura,37,FEMALE,true
9479,Andrea,45,FEMALE,true
4038,Jorge,19,MALE,true
7776,Luis,56,MALE,true
4698,Paola,46,FEMALE,true
8113,Carlos,72,MALE,true
8176,Mateo,74,MALE,true
9464,Daniela,47,FEMALE,true
8327,Camilo,47,MALE,true
9912,Camilo,69,MALE,true
8036,Juan,44,MALE,true
1810,Isabella,26,FEMALE,true
1060,Mateo,45,MALE,true
8745,Gabriel,34,MALE,true
5715,Nicolás,64,MALE,true
7568,Andrea,24,FEMALE,true
2502,David,28,MALE,true
4235,Andrea,29,FEMALE,true
1864,Pablo,60,MALE,true
8964,Paola,51,FEMALE,true
6190,Natalia,74,FEMALE,true
8408,Laura,48,FEMALE,true
3064,Nicolás,43,MALE,true
9704,Camilo,62,MALE,true
1566,Sebastián,68,MALE,true
2124,Ana,29,FEMALE,true
9097,Fernanda,41,FEMALE,true
7047,David,21,MALE,true
6168,Isabella,60,FEMALE,true
6530,Andrea,74,FEMALE,true
1715,Fernanda,23,FEMALE,true
3901,Miguel,46,MALE,true
8038,Valentina,22,FEMALE,true
3532,Ana,74,FEMALE,true
9307,Luis,45,MALE,true
8357,Fernanda,69,FEMALE,true
8374,Catalina,45,FEMALE,true
3983,Natalia,53,FEMALE,true
8082,Gabriel,20,MALE,true
8225,Ana,64,FEMALE,true
6137,Valentina,42,FEMALE,true
4695,Claudia,35,FEMALE,true
9461,Marcela,20,FEMALE,true
3767,Carolina,32,FEMALE,true
8296,Camilo,19,MALE,true
9890,Miguel,19,MALE,true
2506,Ricardo,52,MALE,true
2338,Luis,56,MALE,true
8302,Jorge,68,MALE,true
3848,Isabella,41,FEMALE,true
2544,Luisa,73,FEMALE,true
1339,Jimena,51,FEMALE,true
1852,Sebastián,29,MALE,true
6213,Gabriel,71,MALE,true
8757,Pablo,60,MALE,true
8337,Marcela,73,FEMALE,true
1294,Fernanda,57,FEMALE,true
4985,Ana,61,FEMALE,true
9409,Patricia,48,FEMALE,true
9628,Camilo,60,MALE,true
8927,Diego,24,MALE,true
9820,Sebastián,52,MALE,true
8787,Santiago,72,MALE,true
2115,Luisa,53,FEMALE,true
3116,Andrea,71,FEMALE,true
1847,Elena,28,FEMALE,true
5620,Fernanda,74,FEMALE,true
9712,Patricia,68,FEMALE,true
8554,Valentina,41,FEMALE,true
3069,Jorge,48,MALE,true
6615,Ricardo,24,MALE,true
5453,Ana,34,FEMALE,true
8574,Nicolás,64,MALE,true
5850,Patricia,25,FEMALE,true
4700,Carolina,28,FEMALE,true
2559,Camilo,34,MALE,true
7292,Paola,64,FEMALE,true
7334,Gabriel,73,MALE,true
6854,Marcela,45,FEMALE,true
2270,Felipe,40,MALE,true
2762,Paola,40,FEMALE,true
4738,Sebastián,39,MALE,true
6296,Patricia,74,FEMALE,true
7387,Catalina,36,FEMALE,true
2368,Patricia,58,FEMALE,true
3963,Mateo,50,MALE,true
4274,Laura,43,FEMALE,true
2913,Juan,66,MALE,true
8792,Fernanda,25,FEMALE,true
2394,Juan,19,MALE,true
1986,Daniela,34,FEMALE,true
4487,Elena,32,FEMALE,true
